"provincia","cuenca","areayacimiento","prod_gas"
"Estado Nacional","AUSTRAL","MAGALLANES","156.17"
"Estado Nacional","AUSTRAL","MAGALLANES","8026.47"
"Estado Nacional","AUSTRAL","MAGALLANES","151.16"
"Estado Nacional","AUSTRAL","MAGALLANES","90.60"
"Estado Nacional","AUSTRAL","MAGALLANES","7021.46"
"Estado Nacional","AUSTRAL","MAGALLANES","7660.09"
"Estado Nacional","AUSTRAL","MAGALLANES","5143.65"
"Estado Nacional","AUSTRAL","MAGALLANES","33.95"
"Estado Nacional","AUSTRAL","MAGALLANES","5470.37"
"Estado Nacional","AUSTRAL","MAGALLANES","15.44"
"Estado Nacional","AUSTRAL","MAGALLANES","7471.90"
"Estado Nacional","AUSTRAL","MAGALLANES","4126.63"
