"provincia","prod_gas"
"Santa Cruz","184.488"
"Santa Cruz","184.600"
"Santa Cruz","184.718"
"Santa Cruz","184.850"
"Santa Cruz","185.659"
"Santa Cruz","186.2100"
"Santa Cruz","186.220"
"Santa Cruz","186.277"
"Santa Cruz","186.621"
"Santa Cruz","187.286"
"Santa Cruz","187.424"
"Santa Cruz","187.728"
"Santa Cruz","188.039"
"Santa Cruz","188.098"
"Santa Cruz","188.802"
"Santa Cruz","188.933"
"Santa Cruz","188.979"
"Santa Cruz","189.434"
"Santa Cruz","189.532"
"Santa Cruz","189.720"
"Santa Cruz","190.013"
"Santa Cruz","190.084"
"Santa Cruz","190.153"
"Santa Cruz","190.805"
"Santa Cruz","191.295"
"Santa Cruz","191.925"
"Santa Cruz","192.125"
"Santa Cruz","192.144"
"Santa Cruz","192.315"
"Santa Cruz","192.906"
"Santa Cruz","193.021"
"Santa Cruz","193.519"
"Santa Cruz","193.817"
"Santa Cruz","194.090"
"Santa Cruz","194.181"
"Santa Cruz","194.228"
"Santa Cruz","194.282"
"Santa Cruz","194.678"
"Santa Cruz","195.057"
"Santa Cruz","195.497"
"Santa Cruz","195.568"
"Santa Cruz","196.042"
"Santa Cruz","196.078"
"Santa Cruz","197.014"
"Santa Cruz","197.803"
"Santa Cruz","198.062"
"Santa Cruz","198.092"
"Santa Cruz","198.2588"
"Santa Cruz","198.276"
"Santa Cruz","198.628"
"Santa Cruz","199.395"
"Santa Cruz","199.402"
"Santa Cruz","200.467"
"Santa Cruz","200.714"
"Santa Cruz","201.176"
"Santa Cruz","201.263"
"Santa Cruz","201.510"
"Santa Cruz","201.734"
"Santa Cruz","202.082"
"Santa Cruz","202.358"
"Santa Cruz","202.905"
"Santa Cruz","203.175"
"Santa Cruz","203.661"
"Santa Cruz","204.209"
"Santa Cruz","204.368"
"Santa Cruz","204.383"
"Santa Cruz","204.535"
"Santa Cruz","204.640"
"Santa Cruz","204.654"
"Santa Cruz","204.771"
"Santa Cruz","205.215"
"Santa Cruz","205.303"
"Santa Cruz","206.165"
"Santa Cruz","206.345"
"Santa Cruz","206.713"
"Santa Cruz","206.730"
"Santa Cruz","207.456"
"Santa Cruz","207.577"
"Santa Cruz","207.877"
"Santa Cruz","207.916"
"Santa Cruz","208.119"
"Santa Cruz","208.464"
"Santa Cruz","208.669"
"Santa Cruz","208.683"
"Santa Cruz","208.956"
"Santa Cruz","208.994"
"Santa Cruz","209.210"
"Santa Cruz","209.962"
"Santa Cruz","209.987"
"Santa Cruz","210.365"
"Santa Cruz","210.886"
"Santa Cruz","210.968"
"Santa Cruz","211.240"
"Santa Cruz","211.884"
"Santa Cruz","212.571"
"Santa Cruz","212.572"
"Santa Cruz","212.836"
"Santa Cruz","213.2518"
"Santa Cruz","213.434"
"Santa Cruz","213.590"
"Santa Cruz","213.884"
"Santa Cruz","214.069"
"Santa Cruz","214.1221"
"Santa Cruz","214.675"
"Santa Cruz","214.834"
"Santa Cruz","215.700"
"Santa Cruz","215.960"
"Santa Cruz","216.693"
"Santa Cruz","217.032"
"Santa Cruz","217.119"
"Santa Cruz","217.378"
"Santa Cruz","217.415"
"Santa Cruz","217.474"
"Santa Cruz","217.608"
"Santa Cruz","217.789"
"Santa Cruz","218.023"
"Santa Cruz","218.888"
"Santa Cruz","219.437"
"Santa Cruz","219.589"
"Santa Cruz","219.603"
"Santa Cruz","219.627"
"Santa Cruz","219.677"
"Santa Cruz","220.037"
"Santa Cruz","220.604"
"Santa Cruz","220.676"
"Santa Cruz","220.870"
"Santa Cruz","221.764"
"Santa Cruz","222.608"
"Santa Cruz","222.634"
"Santa Cruz","222.936"
"Santa Cruz","222.998"
"Santa Cruz","223.113"
"Santa Cruz","223.169"
"Santa Cruz","223.312"
"Santa Cruz","223.364"
"Santa Cruz","223.813"
"Santa Cruz","224.066"
"Santa Cruz","224.255"
"Santa Cruz","224.5747"
"Santa Cruz","224.715"
"Santa Cruz","224.871"
"Santa Cruz","225.213"
"Santa Cruz","225.343"
"Santa Cruz","225.4899"
"Santa Cruz","225.492"
"Santa Cruz","225.630"
"Santa Cruz","225.8334"
"Santa Cruz","225.887"
"Santa Cruz","225.931"
"Santa Cruz","226.018"
"Santa Cruz","226.106"
"Santa Cruz","226.508"
"Santa Cruz","226.784"
"Santa Cruz","227.044"
"Santa Cruz","227.085"
"Santa Cruz","227.999"
"Santa Cruz","228.735"
"Santa Cruz","228.865"
"Santa Cruz","229.303"
"Santa Cruz","230.109"
"Santa Cruz","230.247"
"Santa Cruz","230.356"
"Santa Cruz","230.657"
"Santa Cruz","230.9492"
"Santa Cruz","230.951"
"Santa Cruz","230.988"
"Santa Cruz","231.213"
"Santa Cruz","232.206"
"Santa Cruz","232.394"
"Santa Cruz","232.561"
"Santa Cruz","232.619"
"Santa Cruz","232.774"
"Santa Cruz","233.075"
"Santa Cruz","233.268"
"Santa Cruz","233.291"
"Santa Cruz","233.418"
"Santa Cruz","233.496"
"Santa Cruz","234.281"
"Santa Cruz","234.337"
"Santa Cruz","234.602"
"Santa Cruz","234.646"
"Santa Cruz","234.806"
"Santa Cruz","235.087"
"Santa Cruz","235.358"
"Santa Cruz","235.522"
"Santa Cruz","235.580"
"Santa Cruz","235.866"
"Santa Cruz","236.283"
"Santa Cruz","237.385"
"Santa Cruz","237.472"
"Santa Cruz","237.658"
"Santa Cruz","237.689"
"Santa Cruz","237.931"
"Santa Cruz","238.259"
"Santa Cruz","238.930"
"Santa Cruz","239.633"
"Santa Cruz","239.923"
"Santa Cruz","240.371"
"Santa Cruz","240.547"
"Santa Cruz","240.646"
"Santa Cruz","241.203"
"Santa Cruz","241.849"
"Santa Cruz","242.105"
"Santa Cruz","242.206"
"Santa Cruz","242.473"
"Santa Cruz","242.679"
"Santa Cruz","243.265"
"Santa Cruz","244.900"
"Santa Cruz","245.716"
"Santa Cruz","246.052"
"Santa Cruz","246.053"
"Santa Cruz","246.718"
"Santa Cruz","246.868"
"Santa Cruz","247.208"
"Santa Cruz","247.577"
"Santa Cruz","247.786"
"Santa Cruz","248.367"
"Santa Cruz","248.622"
"Santa Cruz","248.689"
"Santa Cruz","248.765"
"Santa Cruz","248.877"
"Santa Cruz","249.759"
"Santa Cruz","249.881"
"Santa Cruz","250.086"
"Santa Cruz","250.476"
"Santa Cruz","251.002"
"Santa Cruz","251.898"
"Santa Cruz","252.152"
"Santa Cruz","252.550"
"Santa Cruz","252.853"
"Santa Cruz","253.861"
"Santa Cruz","254.055"
"Santa Cruz","254.622"
"Santa Cruz","254.696"
"Santa Cruz","255.072"
"Santa Cruz","256.076"
"Santa Cruz","256.732"
"Santa Cruz","256.789"
"Santa Cruz","257.158"
"Santa Cruz","257.622"
"Santa Cruz","257.661"
"Santa Cruz","257.691"
"Santa Cruz","258.834"
"Santa Cruz","259.231"
"Santa Cruz","259.499"
"Santa Cruz","259.538"
"Santa Cruz","259.706"
"Santa Cruz","259.768"
"Santa Cruz","260.597"
"Santa Cruz","261.215"
"Santa Cruz","261.682"
"Santa Cruz","262.088"
"Santa Cruz","262.125"
"Santa Cruz","262.515"
"Santa Cruz","263.232"
"Santa Cruz","263.774"
"Santa Cruz","263.959"
"Santa Cruz","264.018"
"Santa Cruz","264.473"
"Santa Cruz","264.637"
"Santa Cruz","265.006"
"Santa Cruz","265.037"
"Santa Cruz","265.202"
"Santa Cruz","265.282"
"Santa Cruz","265.841"
"Santa Cruz","266.295"
"Santa Cruz","266.424"
"Santa Cruz","266.894"
"Santa Cruz","266.991"
"Santa Cruz","267.488"
"Santa Cruz","267.500"
"Santa Cruz","268.461"
"Santa Cruz","268.469"
"Santa Cruz","269.005"
"Santa Cruz","269.145"
"Santa Cruz","269.378"
"Santa Cruz","269.469"
"Santa Cruz","270.397"
"Santa Cruz","271.129"
"Santa Cruz","271.181"
"Santa Cruz","271.561"
"Santa Cruz","273.127"
"Santa Cruz","273.5572"
"Santa Cruz","273.794"
"Santa Cruz","275.606"
"Santa Cruz","276.077"
"Santa Cruz","276.163"
"Santa Cruz","276.361"
"Santa Cruz","276.919"
"Santa Cruz","276.955"
"Santa Cruz","277.221"
"Santa Cruz","277.241"
"Santa Cruz","277.767"
"Santa Cruz","278.204"
"Santa Cruz","278.598"
"Santa Cruz","278.836"
"Santa Cruz","279.603"
"Santa Cruz","279.963"
"Santa Cruz","280.117"
"Santa Cruz","280.182"
"Santa Cruz","280.285"
"Santa Cruz","280.967"
"Santa Cruz","280.996"
"Santa Cruz","281.159"
"Santa Cruz","281.368"
"Santa Cruz","281.468"
"Santa Cruz","281.640"
"Santa Cruz","282.109"
"Santa Cruz","282.361"
"Santa Cruz","282.524"
"Santa Cruz","282.552"
"Santa Cruz","282.912"
"Santa Cruz","283.123"
"Santa Cruz","283.223"
"Santa Cruz","284.325"
"Santa Cruz","285.174"
"Santa Cruz","285.194"
"Santa Cruz","285.401"
"Santa Cruz","285.622"
"Santa Cruz","286.380"
"Santa Cruz","287.451"
"Santa Cruz","288.333"
"Santa Cruz","289.270"
"Santa Cruz","290.218"
"Santa Cruz","290.414"
"Santa Cruz","290.746"
"Santa Cruz","291.258"
"Santa Cruz","292.035"
"Santa Cruz","292.071"
"Santa Cruz","292.152"
"Santa Cruz","292.444"
"Santa Cruz","292.757"
"Santa Cruz","292.767"
"Santa Cruz","292.880"
"Santa Cruz","292.922"
"Santa Cruz","293.024"
"Santa Cruz","293.697"
"Santa Cruz","295.533"
"Santa Cruz","296.985"
"Santa Cruz","297.226"
"Santa Cruz","298.717"
"Santa Cruz","301.197"
"Santa Cruz","303.127"
"Santa Cruz","303.455"
"Santa Cruz","305.424"
"Santa Cruz","305.815"
"Santa Cruz","305.934"
"Santa Cruz","306.027"
"Santa Cruz","306.285"
"Santa Cruz","306.355"
"Santa Cruz","307.710"
"Santa Cruz","308.552"
"Santa Cruz","308.869"
"Santa Cruz","309.607"
"Santa Cruz","309.846"
"Santa Cruz","310.020"
"Santa Cruz","310.193"
"Santa Cruz","310.379"
"Santa Cruz","310.457"
"Santa Cruz","310.582"
"Santa Cruz","311.211"
"Santa Cruz","311.569"
"Santa Cruz","311.675"
"Santa Cruz","312.087"
"Santa Cruz","313.457"
"Santa Cruz","313.616"
"Santa Cruz","315.656"
"Santa Cruz","317.702"
"Santa Cruz","317.775"
"Santa Cruz","318.484"
"Santa Cruz","319.018"
"Santa Cruz","319.429"
"Santa Cruz","319.806"
