"provincia","prod_pet"
"Santa Cruz","7.407"
"Santa Cruz","7.423"
"Santa Cruz","7.443"
"Santa Cruz","7.461"
"Santa Cruz","7.481"
"Santa Cruz","7.502"
"Santa Cruz","7.504"
"Santa Cruz","7.516"
"Santa Cruz","7.517"
"Santa Cruz","7.528"
"Santa Cruz","7.531"
"Santa Cruz","7.532"
"Santa Cruz","7.552"
"Santa Cruz","7.556"
"Santa Cruz","7.563"
"Santa Cruz","7.577"
"Santa Cruz","7.590"
"Santa Cruz","7.617"
"Santa Cruz","7.636"
"Santa Cruz","7.640"
"Santa Cruz","7.650"
"Santa Cruz","7.657"
"Santa Cruz","7.667"
"Santa Cruz","7.668"
"Santa Cruz","7.669"
"Santa Cruz","7.680"
"Santa Cruz","7.683"
"Santa Cruz","7.691"
"Santa Cruz","7.693"
"Santa Cruz","7.697"
"Santa Cruz","7.699"
"Santa Cruz","7.703"
"Santa Cruz","7.716"
"Santa Cruz","7.718"
"Santa Cruz","7.728"
"Santa Cruz","7.736"
"Santa Cruz","7.754"
"Santa Cruz","7.757"
"Santa Cruz","7.758"
"Santa Cruz","7.760"
"Santa Cruz","7.762"
"Santa Cruz","7.764"
"Santa Cruz","7.782"
"Santa Cruz","7.783"
"Santa Cruz","7.788"
"Santa Cruz","7.801"
"Santa Cruz","7.821"
"Santa Cruz","7.822"
"Santa Cruz","7.830"
"Santa Cruz","7.844"
"Santa Cruz","7.852"
"Santa Cruz","7.882"
"Santa Cruz","7.902"
"Santa Cruz","7.906"
"Santa Cruz","7.924"
"Santa Cruz","7.938"
"Santa Cruz","7.940"
"Santa Cruz","7.946"
"Santa Cruz","7.953"
"Santa Cruz","7.968"
"Santa Cruz","7.978"
"Santa Cruz","8.001"
"Santa Cruz","8.008"
"Santa Cruz","8.009"
"Santa Cruz","8.011"
"Santa Cruz","8.014"
"Santa Cruz","8.031"
"Santa Cruz","8.032"
"Santa Cruz","8.038"
"Santa Cruz","8.045"
"Santa Cruz","8.061"
"Santa Cruz","8.088"
"Santa Cruz","8.098"
"Santa Cruz","8.101"
"Santa Cruz","8.102"
"Santa Cruz","8.115"
"Santa Cruz","8.120"
"Santa Cruz","8.138"
"Santa Cruz","8.144"
"Santa Cruz","8.147"
"Santa Cruz","8.161"
"Santa Cruz","8.163"
"Santa Cruz","8.189"
"Santa Cruz","8.190"
"Santa Cruz","8.192"
"Santa Cruz","8.214"
"Santa Cruz","8.232"
"Santa Cruz","8.250"
"Santa Cruz","8.281"
"Santa Cruz","8.296"
"Santa Cruz","8.302"
"Santa Cruz","8.304"
"Santa Cruz","8.315"
"Santa Cruz","8.337"
"Santa Cruz","8.348"
"Santa Cruz","8.355"
"Santa Cruz","8.373"
"Santa Cruz","8.374"
"Santa Cruz","8.383"
"Santa Cruz","8.394"
"Santa Cruz","8.398"
"Santa Cruz","8.402"
"Santa Cruz","8.417"
"Santa Cruz","8.456"
"Santa Cruz","8.498"
"Santa Cruz","8.514"
"Santa Cruz","8.517"
"Santa Cruz","8.530"
"Santa Cruz","8.545"
"Santa Cruz","8.563"
"Santa Cruz","8.564"
"Santa Cruz","8.567"
"Santa Cruz","8.587"
"Santa Cruz","8.608"
"Santa Cruz","8.629"
"Santa Cruz","8.634"
"Santa Cruz","8.643"
"Santa Cruz","8.676"
"Santa Cruz","8.688"
"Santa Cruz","8.692"
"Santa Cruz","8.694"
"Santa Cruz","8.749"
"Santa Cruz","8.756"
"Santa Cruz","8.759"
"Santa Cruz","8.775"
"Santa Cruz","8.779"
"Santa Cruz","8.782"
"Santa Cruz","8.791"
"Santa Cruz","8.795"
"Santa Cruz","8.808"
"Santa Cruz","8.843"
"Santa Cruz","8.846"
"Santa Cruz","8.909"
"Santa Cruz","8.922"
"Santa Cruz","8.930"
"Santa Cruz","8.952"
"Santa Cruz","8.987"
"Santa Cruz","9.006"
"Santa Cruz","9.019"
"Santa Cruz","9.026"
"Santa Cruz","9.084"
"Santa Cruz","9.094"
"Santa Cruz","9.109"
"Santa Cruz","9.119"
"Santa Cruz","9.133"
"Santa Cruz","9.144"
"Santa Cruz","9.165"
"Santa Cruz","9.183"
"Santa Cruz","9.197"
"Santa Cruz","9.204"
"Santa Cruz","9.222"
"Santa Cruz","9.224"
"Santa Cruz","9.232"
"Santa Cruz","9.239"
"Santa Cruz","9.243"
"Santa Cruz","9.251"
"Santa Cruz","9.254"
"Santa Cruz","9.257"
"Santa Cruz","9.260"
"Santa Cruz","9.271"
"Santa Cruz","9.275"
"Santa Cruz","9.289"
"Santa Cruz","9.328"
"Santa Cruz","9.337"
"Santa Cruz","9.353"
"Santa Cruz","9.362"
"Santa Cruz","9.385"
"Santa Cruz","9.401"
"Santa Cruz","9.402"
"Santa Cruz","9.436"
"Santa Cruz","9.450"
"Santa Cruz","9.452"
"Santa Cruz","9.455"
"Santa Cruz","9.474"
"Santa Cruz","9.488"
"Santa Cruz","9.495"
"Santa Cruz","9.496"
"Santa Cruz","9.507"
"Santa Cruz","9.523"
"Santa Cruz","9.546"
"Santa Cruz","9.549"
"Santa Cruz","9.553"
"Santa Cruz","9.577"
"Santa Cruz","9.590"
"Santa Cruz","9.592"
"Santa Cruz","9.648"
"Santa Cruz","9.663"
"Santa Cruz","9.678"
"Santa Cruz","9.684"
"Santa Cruz","9.713"
"Santa Cruz","9.732"
"Santa Cruz","9.735"
"Santa Cruz","9.768"
"Santa Cruz","9.771"
"Santa Cruz","9.787"
"Santa Cruz","9.847"
"Santa Cruz","9.849"
"Santa Cruz","9.877"
"Santa Cruz","9.883"
"Santa Cruz","9.885"
"Santa Cruz","9.900"
"Santa Cruz","9.912"
"Santa Cruz","9.913"
"Santa Cruz","9.924"
"Santa Cruz","9.963"
"Santa Cruz","9.981"
"Santa Cruz","10.008"
"Santa Cruz","10.013"
"Santa Cruz","10.020"
"Santa Cruz","10.022"
"Santa Cruz","10.045"
"Santa Cruz","10.092"
"Santa Cruz","10.108"
"Santa Cruz","10.126"
"Santa Cruz","10.127"
"Santa Cruz","10.136"
"Santa Cruz","10.168"
"Santa Cruz","10.175"
"Santa Cruz","10.183"
"Santa Cruz","10.186"
"Santa Cruz","10.187"
"Santa Cruz","10.227"
"Santa Cruz","10.284"
"Santa Cruz","10.285"
"Santa Cruz","10.298"
"Santa Cruz","10.304"
"Santa Cruz","10.318"
"Santa Cruz","10.344"
"Santa Cruz","10.388"
"Santa Cruz","10.398"
"Santa Cruz","10.399"
"Santa Cruz","10.449"
"Santa Cruz","10.458"
"Santa Cruz","10.460"
"Santa Cruz","10.464"
"Santa Cruz","10.481"
"Santa Cruz","10.500"
"Santa Cruz","10.514"
"Santa Cruz","10.539"
"Santa Cruz","10.571"
"Santa Cruz","10.585"
"Santa Cruz","10.605"
"Santa Cruz","10.622"
"Santa Cruz","10.630"
"Santa Cruz","10.643"
"Santa Cruz","10.654"
"Santa Cruz","10.683"
"Santa Cruz","10.691"
"Santa Cruz","10.718"
"Santa Cruz","10.730"
"Santa Cruz","10.736"
"Santa Cruz","10.739"
"Santa Cruz","10.771"
"Santa Cruz","10.776"
"Santa Cruz","10.811"
"Santa Cruz","10.817"
"Santa Cruz","10.818"
"Santa Cruz","10.823"
"Santa Cruz","10.850"
"Santa Cruz","10.853"
"Santa Cruz","10.907"
"Santa Cruz","10.921"
"Santa Cruz","10.963"
"Santa Cruz","10.970"
"Santa Cruz","10.982"
"Santa Cruz","11.015"
"Santa Cruz","11.059"
"Santa Cruz","11.061"
"Santa Cruz","11.071"
"Santa Cruz","11.075"
"Santa Cruz","11.089"
"Santa Cruz","11.110"
"Santa Cruz","11.136"
"Santa Cruz","11.139"
"Santa Cruz","11.150"
"Santa Cruz","11.177"
"Santa Cruz","11.229"
"Santa Cruz","11.234"
"Santa Cruz","11.244"
"Santa Cruz","11.282"
"Santa Cruz","11.285"
"Santa Cruz","11.305"
"Santa Cruz","11.307"
"Santa Cruz","11.315"
